frame_number,timestamp_ms,speed_center_of_mass,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back,landmark_nose_x,landmark_nose_y,landmark_nose_z,landmark_nose_visibility,landmark_left_shoulder_x,landmark_left_shoulder_y,landmark_left_shoulder_z,landmark_left_shoulder_visibility,landmark_right_shoulder_x,landmark_right_shoulder_y,landmark_right_shoulder_z,landmark_right_shoulder_visibility,landmark_left_elbow_x,landmark_left_elbow_y,landmark_left_elbow_z,landmark_left_elbow_visibility,landmark_right_elbow_x,landmark_right_elbow_y,landmark_right_elbow_z,landmark_right_elbow_visibility,landmark_left_wrist_x,landmark_left_wrist_y,landmark_left_wrist_z,landmark_left_wrist_visibility,landmark_right_wrist_x,landmark_right_wrist_y,landmark_right_wrist_z,landmark_right_wrist_visibility,landmark_left_hip_x,landmark_left_hip_y,landmark_left_hip_z,landmark_left_hip_visibility,landmark_right_hip_x,landmark_right_hip_y,landmark_right_hip_z,landmark_right_hip_visibility,landmark_left_knee_x,landmark_left_knee_y,landmark_left_knee_z,landmark_left_knee_visibility,landmark_right_knee_x,landmark_right_knee_y,landmark_right_knee_z,landmark_right_knee_visibility,landmark_left_ankle_x,landmark_left_ankle_y,landmark_left_ankle_z,landmark_left_ankle_visibility,landmark_right_ankle_x,landmark_right_ankle_y,landmark_right_ankle_z,landmark_right_ankle_visibility,landmark_left_heel_x,landmark_left_heel_y,landmark_left_heel_z,landmark_left_heel_visibility,landmark_right_heel_x,landmark_right_heel_y,landmark_right_heel_z,landmark_right_heel_visibility,move_id,move_type,form_quality,effort_level,tag_type,tag_level,tag_locations,tag_note
0,0.0,0.0,,129.82611026971097,,136.20588562978318,,93.45695407209516,,81.30781391557292,,154.74395843091355,179.9991374435092,,532.4885380268097,721.2555313110352,-0.029734505340456963,0.9995168447494507,407.75883436203003,823.9092063903809,0.061797644942998886,0.9980862140655518,594.9023938179016,840.5261421203613,-0.35766586661338806,0.9997684359550476,428.31130385398865,788.2624053955078,0.4177715480327606,0.38538479804992676,656.0268259048462,788.2644653320312,-0.2661358118057251,0.9619067311286926,461.5069878101349,673.2365798950195,0.6631841063499451,0.289630651473999,654.4153118133545,657.2071266174316,-0.020166801288723946,0.9464138150215149,482.00435400009155,1137.8776931762695,0.19109483063220978,0.9998564720153809,566.2672805786133,1128.6704635620117,-0.19169849157333374,0.999982476234436,566.2923860549927,1125.4600524902344,0.647405207157135,0.31184032559394836,767.4126148223877,1161.0048294067383,-0.14764392375946045,0.989449679851532,572.4142599105835,1258.4979629516602,0.9394171237945557,0.6277328729629517,700.2133655548096,1369.9998092651367,-0.06349563598632812,0.9974070191383362,560.4195713996887,1293.306999206543,0.9686886072158813,0.6351728439331055,670.6815361976624,1401.5797805786133,-0.04732329398393631,0.9945787191390991,,,,,,,,
1,33.34166666666667,316.10099210950335,,131.9537794192699,,137.02348805311655,,78.79600935894169,,64.52822839961212,,156.5279964907694,179.99914320422118,,528.874990940094,720.7291603088379,-0.12621690332889557,0.9994388818740845,406.15028142929077,823.978157043457,0.011906282044947147,0.9980198740959167,594.5650148391724,840.560474395752,-0.42071032524108887,0.9997403621673584,430.36969542503357,780.1790428161621,0.4216766655445099,0.35919424891471863,656.0215473175049,783.6781883239746,-0.27135583758354187,0.9514060616493225,461.33681774139404,657.1005821228027,0.7056697010993958,0.2888481616973877,653.9820170402527,643.3405494689941,0.03644946590065956,0.9370334148406982,485.11431097984314,1137.9182052612305,0.1944451630115509,0.999828040599823,571.7986607551575,1147.8559112548828,-0.19496376812458038,0.9999735951423645,610.9950685501099,1018.4200286865234,0.6655831336975098,0.2869136333465576,779.9876260757446,1122.4155807495117,-0.11385438591241837,0.9818939566612244,596.8680238723755,1175.6151580810547,1.089889645576477,0.5766189098358154,710.4678583145142,1330.129623413086,0.24416467547416687,0.9869334101676941,602.5944542884827,1212.5971984863281,1.1351386308670044,0.5859811305999756,679.4757270812988,1364.5778274536133,0.2930987477302551,0.9810283780097961,,,,,,,,
2,66.68333333333334,123.56741865393613,,133.64868552903147,,138.1140624009068,,64.8662621326863,,53.09707988728736,,162.73486225815623,179.99916920146754,,525.4198658466339,709.3655776977539,-0.14246685802936554,0.9994082450866699,401.1488199234009,823.8387680053711,-0.04484163969755173,0.998097836971283,595.6618022918701,838.4591674804688,-0.4332142770290375,0.9997395873069763,405.5538010597229,774.9722099304199,0.3740260601043701,0.34688687324523926,655.3950047492981,780.384407043457,-0.2572822868824005,0.9475486874580383,421.807279586792,646.933708190918,0.6722626090049744,0.3013419806957245,654.0031957626343,634.0106964111328,0.08697788417339325,0.9329454898834229,487.4410092830658,1128.1142807006836,0.19254350662231445,0.9998299479484558,574.4693040847778,1147.6842498779297,-0.1929905116558075,0.9999725818634033,630.2318501472473,958.8059234619141,0.6610916256904602,0.26532042026519775,785.0303506851196,1065.9574127197266,-0.1166713759303093,0.9709687232971191,644.0955448150635,1115.7445907592773,1.1040006875991821,0.5290810465812683,728.7381434440613,1266.3606262207031,0.3291350305080414,0.9637169241905212,630.9306192398071,1150.6264114379883,1.1528805494308472,0.5389043688774109,702.8000664710999,1306.3706588745117,0.38720622658729553,0.9524125456809998,,,,,,,,
3,100.025,121.7319208162425,,134.5929130333308,,137.690046420955,,54.513843354128795,,43.1473899117605,,162.1997848493933,179.99916377414908,,525.6207740306854,709.7092437744141,-0.2710364758968353,0.999448299407959,400.1037883758545,823.5879135131836,-0.1075286865234375,0.9982376098632812,593.2372570037842,839.5953369140625,-0.5096893310546875,0.9997535347938538,417.37384557724,746.2397575378418,0.2679854929447174,0.3290145695209503,655.7974004745483,775.8043098449707,-0.3410685956478119,0.9434272646903992,425.12876629829407,610.5517959594727,0.44840243458747864,0.31498774886131287,653.3384156227112,629.853687286377,-0.01976790279150009,0.9293540716171265,490.62361121177673,1115.8345413208008,0.17987242341041565,0.9998281598091125,581.7778944969177,1147.4284744262695,-0.1803782880306244,0.9999712705612183,579.8891258239746,916.7380142211914,0.6525588631629944,0.24399513006210327,794.2709040641785,1007.5584411621094,-0.0983608141541481,0.9595659375190735,619.9042296409607,1031.1787033081055,1.0898276567459106,0.48545852303504944,745.1219773292542,1212.304344177246,0.46853771805763245,0.9299267530441284,603.5684823989868,1065.3424072265625,1.1389511823654175,0.49588194489479065,723.2414603233337,1248.2934951782227,0.5388877987861633,0.9135765433311462,,,,,,,,
4,133.36666666666667,369.3657950495482,,140.8165427618234,,143.21648270053007,,49.19170723184227,,36.96222221308267,,155.1031412242849,179.99917919531964,,522.6656341552734,710.3639602661133,-0.31729447841644287,0.9994885325431824,397.5027322769165,820.1175498962402,-0.21569770574569702,0.9983900189399719,594.016170501709,839.1888427734375,-0.538527250289917,0.9997703433036804,417.2129452228546,731.0646629333496,0.15439251065254211,0.3229769170284271,652.5732779502869,766.4873313903809,-0.3255416452884674,0.9370401501655579,433.0538249015808,594.8993110656738,0.30156922340393066,0.3350197374820709,651.7384886741638,623.2454109191895,-0.03665991127490997,0.9262946248054504,490.3710436820984,1087.920799255371,0.15928064286708832,0.999836266040802,583.6704611778259,1125.974349975586,-0.1599079966545105,0.9999719858169556,550.5294942855835,884.1754531860352,0.6346615552902222,0.22457890212535858,793.0988645553589,957.9368019104004,-0.04210256412625313,0.9382094740867615,601.8824243545532,994.2855834960938,1.0977615118026733,0.4458351135253906,744.9295663833618,1146.9742584228516,0.5800673365592957,0.885982096195221,594.5796275138855,1028.4736633300781,1.1500563621520996,0.4575692415237427,726.9417500495911,1169.0354919433594,0.6544129252433777,0.8680239915847778,,,,,,,,
5,166.70833333333331,324.3987023560971,,152.65322460301846,,149.73650577115464,,42.88206939704168,,40.235376060725585,,170.38254835145617,179.99918628025625,,514.3375360965729,735.9201622009277,-0.23114703595638275,0.999501645565033,391.8272852897644,827.4297523498535,-0.26429158449172974,0.9985391497612,590.2041935920715,845.0235557556152,-0.5023106932640076,0.999788224697113,392.09890723228455,726.0510635375977,-0.07511785626411438,0.35480496287345886,645.074143409729,750.1766395568848,-0.3900025188922882,0.9366653561592102,436.8643856048584,599.494571685791,-0.11680873483419418,0.38139867782592773,651.7598605155945,608.5672187805176,-0.2579105496406555,0.9290121793746948,490.177538394928,1096.1580276489258,0.13939593732357025,0.9998359680175781,591.2211585044861,1117.7398681640625,-0.14025452733039856,0.9999699592590332,514.7641682624817,902.5217056274414,0.636179506778717,0.2073562890291214,756.4415860176086,938.4940338134766,0.09679463505744934,0.9078233242034912,602.827033996582,1021.3974380493164,1.1203114986419678,0.41259250044822693,749.8183107376099,1094.3722915649414,0.666613757610321,0.8450412154197693,605.0260162353516,1056.6426086425781,1.171338677406311,0.4250466525554657,755.7372164726257,1141.3279724121094,0.7306497693061829,0.8206825852394104,,,,,,,,
6,200.05,440.19801871063765,,155.02657809282618,,151.7283136222885,,41.272901231170806,,56.47758139352832,,175.28663936550996,179.9991964855938,,515.6017577648163,755.159797668457,-0.33806389570236206,0.9995286464691162,386.5894138813019,830.6237411499023,-0.3894810974597931,0.9986739158630371,586.522057056427,857.1558952331543,-0.5794445872306824,0.9998047947883606,373.57866168022156,735.7044410705566,-0.18279105424880981,0.3851860761642456,645.1307272911072,745.0760650634766,-0.48344188928604126,0.9375469088554382,435.18370270729065,605.0288772583008,-0.19672425091266632,0.40179672837257385,651.7779493331909,600.5025672912598,-0.4154966473579407,0.9260530471801758,473.2087469100952,1075.4490280151367,0.1128699854016304,0.9998382329940796,589.347517490387,1100.3044509887695,-0.11336727440357208,0.9999707341194153,449.50904846191406,837.8962326049805,0.6197590231895447,0.19294866919517517,742.3706746101379,921.8142700195312,0.06486602127552032,0.8995459079742432,522.0504212379456,895.078067779541,1.0878217220306396,0.39138171076774597,782.4309682846069,1062.7228546142578,0.5672392845153809,0.8354300856590271,526.7603695392609,927.729434967041,1.1358414888381958,0.4043237268924713,787.4021744728088,1087.928352355957,0.6246023774147034,0.8053883910179138,,,,,,,,
7,233.39166666666665,286.22672557536674,,158.37167641319155,,151.43277891600178,,43.221875362884624,,101.82713182591195,,177.76052821054213,179.9991774636398,,508.2955491542816,761.1278915405273,-0.4353547692298889,0.999569833278656,383.259494304657,840.0896644592285,-0.4259461462497711,0.9987970590591431,578.5492014884949,866.1518096923828,-0.6200116276741028,0.9998162388801575,384.1473591327667,719.1205215454102,-0.2932056784629822,0.42555806040763855,636.9465351104736,749.758358001709,-0.6033466458320618,0.9382636547088623,437.32252836227417,597.0733451843262,-0.41101133823394775,0.44537627696990967,649.428334236145,607.5388526916504,-0.634528636932373,0.9257655143737793,451.53283953666687,1074.064064025879,0.11000116914510727,0.9998279809951782,586.2509822845459,1095.5134963989258,-0.11045636981725693,0.9999629259109497,422.85765409469604,878.0244827270508,0.5937293767929077,0.17987453937530518,727.4121236801147,934.8255157470703,0.16926245391368866,0.8893980979919434,507.1980857849121,893.1895065307617,1.1193161010742188,0.3662998080253601,782.2366261482239,965.8077621459961,0.6740935444831848,0.8262299299240112,522.3497879505157,908.7711524963379,1.1745355129241943,0.3779066205024719,818.4660172462463,988.1930923461914,0.7267979979515076,0.7848218679428101,,,,,,,,
8,266.73333333333335,365.9931589604046,,158.76743588524926,,151.05567780225496,,41.173014881878785,,78.30800458598645,,169.44221657338917,179.99915326700017,,506.40578269958496,770.0528526306152,-0.5005563497543335,0.9996028542518616,385.28669714927673,844.6310806274414,-0.4250473380088806,0.9989035129547119,574.8698973655701,870.8734703063965,-0.5921324491500854,0.9998245239257812,403.67842197418213,719.6491241455078,-0.31820473074913025,0.46684932708740234,634.8688316345215,747.7409934997559,-0.5576721429824829,0.9396166801452637,438.0282497406006,589.1072273254395,-0.435571551322937,0.4877048432826996,646.4962077140808,607.693977355957,-0.5732613801956177,0.9276585578918457,456.7441248893738,1066.6376495361328,0.09443415701389313,0.9997991919517517,585.9682559967041,1085.0984573364258,-0.09489032626152039,0.9999483227729797,406.6267704963684,871.7897987365723,0.5124892592430115,0.1698165386915207,731.9123768806458,899.6854591369629,0.10505765676498413,0.8803659081459045,442.0015776157379,877.7259635925293,1.0057165622711182,0.34064534306526184,780.7867527008057,957.7242851257324,0.6268386840820312,0.8037434220314026,447.79762744903564,892.4696159362793,1.0568554401397705,0.34947437047958374,788.462655544281,971.2677383422852,0.6835812926292419,0.7511958479881287,,,,,,,,
9,300.075,245.90693721969603,176.8343273514958,159.10649131030246,148.2132473638105,151.79322977920074,,41.2711082708672,,88.2443676460118,,140.8669954516884,179.9991490035004,,507.9561746120453,781.4558601379395,-0.7521095275878906,0.9996386766433716,386.74835085868835,848.2158851623535,-0.5727370977401733,0.9990029335021973,575.3201222419739,874.7684669494629,-0.7072696089744568,0.9998331665992737,416.053683757782,718.1540679931641,-0.48641785979270935,0.5109519958496094,635.0051736831665,748.6686515808105,-0.6921288967132568,0.9422174096107483,438.8686716556549,582.2844314575195,-0.6100938320159912,0.5301600694656372,646.4212775230408,601.4929962158203,-0.7549110651016235,0.9305077195167542,458.7942445278168,1056.401252746582,0.08438680320978165,0.9997841715812683,585.3226590156555,1073.7451171875,-0.08478327095508575,0.9999372959136963,410.4208838939667,864.4567680358887,0.4483507573604584,0.16221609711647034,735.341591835022,884.4227027893066,0.12649236619472504,0.8663454651832581,452.0757293701172,867.3423385620117,0.9770260453224182,0.3182735741138458,778.1912970542908,920.5680656433105,0.6831774711608887,0.7810563445091248,459.9039387702942,876.0084915161133,1.0305355787277222,0.3237539231777191,780.3385877609253,931.9126510620117,0.7409564256668091,0.7142091393470764,,,,,,,,
