frame_number,timestamp_ms,angle_left_ankle,angle_left_elbow,angle_left_hip,angle_left_knee,angle_left_shoulder,angle_lower_back,angle_right_ankle,angle_right_elbow,angle_right_hip,angle_right_knee,angle_right_shoulder,angle_upper_back,speed_center_of_mass,speed_left_ankle,speed_left_elbow,speed_left_heel,speed_left_hip,speed_left_knee,speed_left_shoulder,speed_left_wrist,speed_nose,speed_right_ankle,speed_right_elbow,speed_right_heel,speed_right_hip,speed_right_knee,speed_right_shoulder,speed_right_wrist,velocity_center_of_mass_x,velocity_center_of_mass_y,velocity_left_hip_x,velocity_left_hip_y,velocity_left_wrist_x,velocity_left_wrist_y,velocity_right_hip_x,velocity_right_hip_y,velocity_right_wrist_x,velocity_right_wrist_y
0,0.0,114.88220568140781,129.15307062912808,85.11396685275581,155.3491558115893,84.66917100443283,174.90330936098204,152.6383379218001,150.97090875981917,125.83304960569471,88.45886983591863,69.50157998574821,179.99690424254115,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1,33.242009132420094,83.59785027456887,25.37311455428285,80.2056337992142,170.27407654333325,93.90629441758229,129.29304162355706,5.074078754011856,176.00371970719596,81.86266174970419,163.35277421769499,97.91424731393649,179.99814559636826,880.1005972003785,1217.7770735918361,2431.2188024342645,1147.4003253708677,1173.395588725749,970.625800196695,2354.554459352559,2191.091759050886,2419.5332094818523,962.7907096225761,1139.0834127551577,646.2577133805171,673.428834235874,1168.25666478155,1002.7980280186813,1622.4279862851345,-352.0744540452302,-806.6105875831385,-702.5981836430319,-939.794126382241,-2173.656510586267,275.8631373827274,-1.5507244474285253,-673.427048784036,998.1385047291661,-1279.0590666807616
2,66.48401826484019,134.12060983713727,45.82064534842488,4.858330222422345,56.706391275421275,93.57692271200007,162.99424155620176,62.571507992218805,172.14506773629327,121.67394711927815,126.15017216276891,80.46419530036015,179.99789558079453,284.20373738408557,318.08036360254243,903.8033688065751,340.4031717352925,383.0428315005214,383.3414102456164,797.907463465733,1145.6668716415584,1094.6925653195474,329.3491457315534,627.3684025849686,273.0910554777383,295.406853493566,136.87830259626162,399.64626291544624,889.2350324407063,-29.10895540819064,-282.709096171535,-216.49616006966477,-315.9924420599754,-1126.7980213921803,207.07196759489867,158.2782492532835,-249.42575028309457,458.51196414985503,-761.9092607727418
3,99.72602739726028,89.63296506673302,86.63022263909076,22.88494739830989,78.48293459785704,64.88699211059028,176.83347028811156,14.688341594122269,168.7440071844673,133.70420436557663,118.14180790754347,84.86289303637564,179.99749052831817,195.28275397518703,209.66625100472274,543.8639341197243,232.5530893556018,223.07084901074904,172.902403316783,473.9784764341501,759.15876065636,808.6737405872531,207.67264601793195,657.5041103000664,161.75233594125896,229.64952468455465,70.73188292732148,398.56931366170795,912.7896973360484,-15.375756398662098,-194.6765011892869,-129.17485947792346,-181.86384840653494,-743.2568707308927,154.56793973079095,98.42334668059927,-207.48915397203885,448.0557053953737,-795.2553781179282
4,132.96803652968038,99.54052491092102,136.46727263991852,52.588981251583235,76.44182670144723,67.94750087442888,162.71555911771762,120.30399803301904,41.91266828875035,145.35724568261247,76.36866678549168,32.56842611020627,179.99685591435554,152.62567348879185,290.85999981598565,441.41991421461347,277.0543458180133,237.53044185785743,336.8727278750945,490.5923052390596,68.19265819907977,206.82550826067984,178.11647712067435,246.64784957593042,102.43145738381276,74.28284164553793,632.2183193626757,160.19270573467514,400.31769195237104,65.7137746830563,137.75447733127154,77.34803441134129,224.58404302597046,-33.39449268775982,59.45625694898459,54.07951495477132,50.92491163657262,100.69377702343596,-387.446793455344
5,166.21004566210047,54.31153630770817,108.81949843092431,58.46520537477562,97.57880298346033,53.5004174470166,161.70444323272577,138.38763042768082,57.87887820787476,148.81083255692727,79.0736894202562,138.21219513571438,179.9968100963331,69.11046435293899,197.8306347159433,347.4199760683406,259.4002378184864,131.0433345254277,194.7958986447841,257.90977303219614,49.52390252451785,45.28543659734045,91.44418495791862,327.2193126210182,73.70916287479926,54.723339149685295,309.4575424523898,126.8878686366791,434.70798203508605,-25.962633598636796,64.04840310032552,2.7202030459603113,131.01509843881314,-23.07511371570629,43.819585213294395,-54.6454702432339,-2.918292238162114,156.56786071402686,-405.5336418060156
6,199.45205479452056,116.63493720904246,94.4925472314147,99.23774628881566,61.28239887167107,47.1950120756177,160.26663086403923,151.54490552091326,166.90235589859572,156.1424352426856,105.24156273547503,114.68557233283047,179.99649333024638,55.4701957895068,140.44220130605459,190.063730176665,201.01492669295826,138.03564471714455,445.3429451139079,228.47720286105667,43.225519868440706,107.11097951584736,113.24639461963939,579.4202448543057,58.868255552205696,47.225643627898314,60.54534668363512,275.73217568041264,1041.9574117215589,15.635254029389266,53.221062112313064,-3.879941787038531,137.98110473614474,-38.729847460002695,19.194907752367165,35.150449845817064,-31.538980511518623,112.48109165456269,-1035.8683564341986
7,232.6940639269406,170.95893554859134,89.4893988841538,169.3081756281202,96.64821105348364,62.59425323864639,176.72126919236757,168.6630900784845,158.7480570991946,179.27755486079707,91.24429788714447,134.5590049057511,179.9963916913566,61.41710920511661,1282.7298422036383,220.1075969194389,1301.1804385329751,114.56950757038084,926.2850964000503,37.70891714351937,50.41548339862498,190.25687290296355,174.30025026067176,686.1880822831813,89.40303038282798,155.65441003727273,405.47755112853196,410.734503461942,1143.2757549293217,60.60643693084245,-9.945908991190102,34.37787043851811,109.29013719925514,-18.24275301052974,46.999180087676415,86.8350034231668,-129.18195518163535,164.80360589512102,-1131.335150737029
8,265.93607305936075,176.35032290019146,103.13903356032063,179.6291130275582,92.528957780426,61.906319615640534,179.2054245946532,169.64143870176864,148.5641618274844,177.42682881642057,88.07264680523485,142.86811882498193,179.99605048011608,53.28139069271379,1317.5796338011196,75.1788128639464,1312.4370112926135,91.70312432977379,977.2871854466047,59.41165926466353,41.501992315294295,139.71395163260402,210.65301142301658,543.9650212141447,130.7115284481466,165.31167732572285,421.8923957754389,365.4684432043274,1018.1101924728035,45.34181926276658,-27.982602096520942,14.211495580909016,90.59523389889644,3.8705497816368775,41.321110954651466,76.47214294462414,-146.56043809193832,120.01730635925965,-1011.0114787633604
9,299.17808219178085,129.73704875273486,110.35445860309743,160.3415966650151,29.403360746344152,61.00595500959306,172.81841600275084,160.37991357746674,146.67602055210875,179.2408956873189,94.81254532644441,146.868303023864,179.99586503602106,16.5977652498273,298.83288227166565,72.20846590031665,247.39772174735182,42.40410802891546,542.8225956580864,39.44059842429341,64.19241427113066,36.55383103958017,149.61220987738744,142.70944873845318,113.65161408031054,57.07108185144893,248.80529945251718,168.38362635452106,135.89479666524122,-15.830051178460595,-4.9895181105687065,-7.514995729530251,41.73287932689374,12.012374908714504,63.058456205404724,-24.145106627390938,-51.71191554803115,22.21070136670228,-134.0674475981639
