frame_number,timestamp_ms,angle_left_elbow,angle_right_elbow,angle_left_shoulder,angle_right_shoulder,angle_left_hip,angle_right_hip,angle_left_knee,angle_right_knee,angle_left_ankle,angle_right_ankle,angle_upper_back,angle_lower_back
32,1066.483547925608,123.93327564771647,172.70064113959808,79.77743624244361,159.40970433545652,89.58282309506865,162.2238113476031,81.93606556721114,117.99229032547724,156.4759729640162,161.36476712911343,179.99410917856466,127.73177041581114
33,1099.8111587982833,121.62893086645667,166.98747243472894,81.57795627593389,167.51530703204142,92.19308309570688,161.1376535805049,88.66150670526636,123.5270414530601,155.071775143694,164.36643642275536,179.99405627780422,129.0626678824473
34,1133.1387696709585,130.33317340636876,170.73725015187787,86.18009481353536,164.89576337474622,98.35313850104066,167.81516641995216,94.69479511476315,135.46487095225092,151.52708279320547,161.5376533692553,179.99538448719062,135.3615739524916
35,1166.4663805436337,137.88293298026596,174.81621772271941,90.65639953776969,168.98848213392853,105.56304496208774,171.75032425398348,99.15936014587956,146.44350110594016,148.31897584918826,159.52842394906918,179.99542417690373,140.51238711092486
36,1199.793991416309,145.05894594842894,176.40078080824836,96.1380455728974,175.8385405163581,113.08038949986083,173.54638500261498,105.19320524701432,156.9343707371544,151.63490292584257,161.51168186307027,179.99561053462622,143.93124640365568
37,1233.1216022889844,148.05267855466423,175.77099792632168,99.79252222087456,179.96655739597318,122.60242758431684,176.0256332146171,116.65693154315714,166.59901251984067,156.34440074410352,167.12851744883903,179.99629012459602,149.83710071692042
38,1266.4492131616596,155.37953970396546,174.56773412275143,106.98329940498932,176.86870513463998,130.7166393264659,179.94129531029338,128.59077988341053,169.37153360437907,155.28335930058066,176.8098359895988,179.99692621033,155.41622735489696
39,1299.7768240343348,157.4900169754144,178.37585176419606,109.76157380927248,176.37769033333564,139.6323654548149,179.09978730970823,142.11717106088588,172.29655996844613,148.9734029688688,175.06879648515786,179.99709705547522,160.3935794602238
40,1333.10443490701,160.16505405718152,176.21681424799948,109.56796859341294,179.79282217594823,147.21735870108935,177.57386715698615,158.54768628384906,172.58530856631663,151.61982391079349,176.13012019446813,179.99721288682528,164.93718397758437
41,1366.4320457796853,171.95666043282077,173.4366260864457,110.25552251678108,177.96147124292622,151.5200851729921,178.50072598896926,170.10485478304432,169.20549527485773,149.10290218655442,168.49716852473713,179.99709568328683,165.06736939059707
42,1399.7596566523605,166.5311571963765,172.40847860580456,103.07920872084487,175.94166495342327,150.64711942316728,174.2776629235232,166.61160644816627,166.3514175645463,145.35544430229024,169.56034410185055,179.99671125272118,162.30628678852773
43,1433.0872675250357,173.1032937867015,179.86817511549987,105.59798549738805,171.1625071965295,137.35890315896714,169.3315693373011,150.64113439560572,159.76203113682513,142.38881029438903,174.74649228554495,179.99710234129773,152.37112229660312
44,1466.4148783977112,173.92982765279447,177.71459268627004,109.26915207025483,166.8675381216789,127.18555160014239,161.5133909466778,143.1076553864195,150.71979482790633,144.52362134466745,168.858214708368,179.99740702491897,142.99156009622712
45,1499.7424892703864,146.77191338504633,173.63407739104957,106.47481540433924,158.47689427809496,120.72184513055812,158.97400910445285,142.40858977007733,151.96877633039927,152.36847090609658,156.6193645312362,179.99752524610653,137.63722272094722
46,1533.0701001430616,108.48602557993857,177.01762290086432,102.25959624698824,157.29581911192128,118.43254843828535,124.55900654716291,148.90499289263596,118.90698275014566,148.9147101989244,163.89035862937848,179.99749443543894,124.09561434204596
47,1566.3977110157368,33.47100036925342,177.44627221989282,101.68658145909136,154.90916467498167,118.59922014491116,119.87522096993544,154.60905059461504,112.59849187077077,152.47621287056535,176.77641407950534,179.99747006310287,122.75117142561908
48,1599.725321888412,103.98776605408433,171.38164820875062,96.80550487441836,150.31643472883476,118.39125369569561,113.97572159599929,160.52789458693366,113.39956686160372,155.52297502601638,173.5569614396965,179.9974739949842,122.11242860724543
49,1633.0529327610873,128.61932954241723,170.69017187348868,89.49841407116025,146.4198219317763,120.10285093924806,119.10451836735821,166.67462366465833,124.91959026634474,164.54476306701076,169.81202462860574,179.99733582577352,123.89750802626412
50,1666.3805436337627,143.32950479231013,170.51566395742668,89.22173443220213,146.4910953422206,115.91275572489685,120.89077685887129,164.38411267893147,118.48081913192505,165.826886046827,178.8683078911519,179.99735102929301,120.52377861743061
51,1699.708154506438,114.40533269685076,168.39810497343012,78.2731938092764,145.2406913878921,116.35420613928613,131.2681499593577,164.8932260440119,138.55889455809674,162.38125709493232,176.9746908520968,179.99736643004258,124.76399331599562
52,1733.0357653791132,13.573874325414346,166.34838024956187,70.12513005055031,144.39047778293696,117.86633302606475,146.34291923262268,164.50769035426077,156.63567213579003,156.81400037011707,178.57551024668814,179.99730529235592,128.80791483100788
53,1766.3633762517884,11.334763725195849,164.59493803774302,57.061215923358,145.61559696850944,120.81789532679124,176.8820483206008,164.1705183330305,175.3068272788879,157.39591286630483,166.55071729703278,179.99725799896595,135.3022904673694
54,1799.6909871244636,16.503647466470706,164.62979090057993,48.27633400931867,149.24056979554703,119.68736409538623,165.6786212963859,165.47235614849882,161.44283189499495,147.7527638186661,165.18711191413414,179.9973064917675,140.73425633968736
55,1833.0185979971388,104.38380427744836,166.30986631964888,42.248072584594496,151.4009008282419,119.57419576601079,155.46958475208086,166.8863474634074,151.6006936865284,131.94964522210088,163.11584795059775,179.9972871662471,145.56528281725753
56,1866.3462088698138,141.1444575634801,166.2889948059476,37.25101877630461,152.11555525185793,119.76066611443937,151.1710233001647,169.4569172717934,147.99932154398775,134.62868509389847,169.16295789457294,179.9972427334158,150.40735881665236
57,1899.6738197424893,146.67517521216595,168.63776769404902,34.54986711652555,154.60332302870327,111.85718725497172,143.4603804664225,163.09995185597953,145.19454405229035,142.7766715102762,163.31558431700006,179.99724494784732,151.2609267453664
58,1933.0014306151645,149.6088125581938,168.99345165939738,33.00375935050047,155.81707920700842,109.37508839699962,140.12980866782124,162.9800898458318,147.0161116869784,138.6503114445511,159.95969015403602,179.99729201141335,156.56941866064167
59,1966.3290414878397,177.33828578040797,169.1576918099375,32.34456472712998,157.09337114261223,94.25059541035006,138.10012387521576,136.96963518639885,149.86892443514822,140.60739697987066,162.25328547647695,179.99728469710777,139.23734935936184
60,1999.656652360515,178.01318293611706,169.1038874782763,29.321035863493698,158.22500548409394,83.36935909358769,135.7224171094431,123.82604230182345,151.0850193541031,153.83848972727156,164.3669067150398,179.99732742800327,126.26733005710045
61,2032.9842632331902,174.6680217288289,169.7437787107485,27.78967221214204,159.89674922755609,74.96227621861573,135.37167075239782,116.77508179852995,152.90513679195664,146.6006508802215,164.7789234610535,179.9973297562102,115.64645582352429
62,2066.3118741058656,172.81052448239888,170.29897162765428,25.08653467956759,162.29144467702204,61.47278264639437,130.86466201425998,97.74816695003366,149.84674225520072,157.1334795950498,169.32040461047626,179.99733916597629,89.93705505837289
63,2099.6394849785406,167.78839676642215,169.89606876858687,24.690772983217094,163.84680853232518,54.19214196627123,133.32753183681572,91.78744940496796,155.39656697017807,154.68419069364865,167.58996022386114,179.9973401345578,76.0037151562196
64,2132.967095851216,128.42871966287646,170.47606312925367,22.526023911140648,165.18491538451283,50.46146811693499,140.10267792708356,85.73117232737454,163.79122009738197,157.7338849392851,166.44508267702952,179.99732586249897,73.47562584612282
65,2166.294706723891,103.24451832239009,170.6805995842782,20.817524306734132,165.606552388609,48.32051569204565,145.20965004680426,84.62170630095983,168.1610153501402,152.393831879011,166.36907266955936,179.99730900474145,71.45561072799813
66,2199.6223175965665,94.96727379714517,172.5018185004062,19.73276744102145,167.49694099155064,46.488890211736575,152.8286123525613,85.71025113062794,176.63135242806658,149.297240686292,170.65556562478827,179.99734486526168,67.98621962389696
67,2232.949928469242,,175.07927953088404,21.006141244297265,170.81812174305333,43.00831193994434,141.5520361550709,76.89011290223394,153.56271109073137,149.68716743470108,174.49642093058947,179.9973710916088,62.71680279730292
68,2266.277539341917,,177.38856944320273,23.63702426226539,173.0331928986521,40.62702208790259,160.89015337402628,73.4779353734353,179.35860511247992,170.26122432111794,178.9726678891528,179.99737229997183,65.22586333230412
69,2299.6051502145924,,179.76584353147555,24.435353029681952,176.22107798217732,39.191842946336536,158.21647058109906,46.68234752254499,175.30844844262242,171.53977346786354,173.30376108180937,179.9973756722936,57.52298276525288
70,2332.9327610872674,,178.54549776859028,25.687632578860068,178.24879966255213,36.99408154094512,151.3476464876973,27.75634271916264,167.22622241412756,178.23126743419152,174.98865696839988,179.99731451121536,49.13846662367498
71,2366.260371959943,,179.88179873501937,25.01167692939673,177.73141576657255,38.56643737349922,146.37390683660004,15.961128709006115,160.92058379303234,144.36815025218513,178.36014109924957,179.99728547143476,48.61964080282319
72,2399.587982832618,,179.57506117453104,23.15202552864766,176.65881365217314,41.89572128805567,138.1508409208737,44.77582038091265,149.9920735383361,169.45748344392715,178.72841739852822,179.99727132994292,51.434967555829964
73,2432.9155937052933,,179.4055029562899,23.612381089251485,177.28737724849756,42.23159477789616,94.66182623477857,40.93355382905146,102.6400225675781,174.6688644905877,176.4252649997709,179.9973026679859,44.725093049480684
74,2466.2432045779688,,178.49638128953703,25.18111722858652,177.4028255126995,40.99101488977163,79.11630361530068,35.52016615119433,82.21367517160155,172.2987505877174,177.47837951279521,179.99731482270246,39.07744193195861
75,2499.5708154506437,,177.21028163557762,27.552809874232064,177.10800238866756,42.48798293573696,74.08250054478195,34.177476842222674,73.21505526230995,157.2991419518729,178.58860136313496,179.99731001001933,39.52277358736114
76,2532.898426323319,,176.7585056853442,28.87733001178445,175.96568890723893,41.82468939180793,78.99794921833882,35.35825616450758,75.7851351714351,161.26411293977728,177.4688718799949,179.99730968418743,42.15622748362621
77,2566.226037195994,,176.67776028587699,30.686761331862385,174.39160248711948,45.52197918853473,78.10215378798861,54.90188454891831,73.32006154122337,170.09528046564384,175.0355644559998,179.99731534885157,47.689427725554495
78,2599.5536480686696,,177.08177909736582,29.9436280040283,173.3265506251166,42.79504628596604,84.52381488410296,56.99479939931214,79.1195393994414,167.41123745760302,172.71555219298375,179.99731637674162,45.913410475825664
79,2632.8812589413446,,179.37707279914946,29.980569739973582,171.30408522680725,37.742929067061105,148.42186402071565,62.60029370838043,137.2795356822906,164.72735391933378,175.77311597754627,179.99733277710388,55.9302872791244
80,2666.20886981402,,178.99176653187854,31.48952887221552,170.19153817668786,37.74812706322344,156.44578983661663,63.07941807350094,141.7566999128793,168.29567752778473,179.04458802778598,179.9973311800563,68.39170266708048
81,2699.5364806866955,,179.98287648613265,31.916032542213337,169.31131800752775,35.50744975671946,171.01324525672717,91.84586276168255,163.95204196866922,134.77538389787725,175.68797651966148,179.9973259352801,48.75825032135922
82,2732.8640915593705,,176.98879676088947,33.55775276781913,167.31056859720024,29.567413556683235,32.20669348913502,67.07617917684769,37.41929044298336,175.82097447291662,179.35859395176738,179.99731455369493,37.38150059522413
83,2766.191702432046,,173.75725393616614,33.76312873942592,163.75823876707196,29.782921390069767,52.017044032274356,67.0227392878439,55.6052205342818,172.34964938229564,179.0878460937345,179.99728393870157,37.88201726271402
84,2799.519313304721,,169.83752641820402,34.89502821280856,159.31100516347692,33.913828964944784,152.68504092673143,94.50918673919428,156.99170823050727,153.42453611427146,179.16637114503175,179.99722547878852,44.96177591202864
85,2832.8469241773964,166.78354939306013,166.0529712537368,32.84657601666067,155.5529337268374,37.408500474246495,178.40369169743593,111.46659865189405,173.13730655000163,167.53296341004577,175.47990266607124,179.99718650310467,50.804534355078275
86,2866.1745350500714,166.8900491811538,168.66818392312916,31.454068669042126,156.20547278182778,41.11037086304209,175.4691032359517,117.55424961611315,170.07407499507894,162.13351061301617,174.68759946117123,179.99721377645,60.08843532246586
87,2899.502145922747,,166.21717521958445,31.218364312180142,154.58433070751116,40.93285122035303,176.477922491057,108.79296281555925,171.6143023498981,158.9853712902175,175.6910001263139,179.9972053157134,63.523078560467894
88,2932.8297567954223,,160.37246103651816,29.638486176099637,150.67101667197338,39.59561668733524,172.28471759229456,71.1513212481955,167.40223658570815,167.20405689361388,178.2805578276696,179.99724907546414,67.70787529508871
89,2966.1573676680973,,156.414791531661,31.80848539540946,147.45178106426133,44.91036181761809,170.06658627638805,65.22733692973529,162.07083659600437,177.94327731126677,175.9069499193286,179.99725601413658,109.72054314059855
90,2999.4849785407728,,152.57786310184858,34.11016278869805,145.09539234051692,68.99886031068574,177.2214146402793,79.51897948264319,174.02108219742718,171.6984871440472,178.0957174072125,179.99722803731004,133.66160447778955
91,3032.8125894134478,,151.18917208249357,36.885777930871384,143.83142532647364,79.14938996471592,178.98422805797986,87.38591685877827,179.145296924397,167.70459657338145,179.94982668674496,179.99733332169285,138.49351022971592
92,3066.140200286123,,151.02139765504467,34.0396206882374,143.8168605682994,83.62088191176454,178.59410708995978,102.26169824573293,177.4336418197822,154.330428542279,179.84820840149635,179.99737344977757,137.58706751304004
93,3099.467811158798,,148.08261841004057,65.91971194394516,140.49370914329108,69.78017551564916,178.61570219502988,66.84658104378317,177.14602061943418,173.04559990697481,178.94180930312393,179.9972280383619,123.086447984462
94,3132.7954220314737,,142.74220551851434,150.04536501860656,136.85478636953192,70.78695039946838,179.27585343144713,64.4621322903563,178.2045893426943,169.4906414253768,178.21050953684994,179.99704256838726,123.69455989632273
95,3166.123032904149,,142.16633615216563,169.23041309834448,138.08819351881115,66.70559116943315,179.11607641578308,54.8602152833513,176.3335661976817,163.822880367619,179.8181264412028,179.99701992390902,114.9606546540241
96,3199.450643776824,,139.6735749053542,158.2184241009859,138.18779518472908,67.06951262098177,178.90123042514293,57.48840408995818,177.0663097814706,159.47667923091035,179.2890890909269,179.99705849614548,116.42474308105383
97,3232.7782546494996,173.2762256342097,141.47844639870632,156.44558624889476,140.81450769590498,69.69671253361933,177.2610409344849,59.78180243657974,177.5761595334109,158.88423663527965,177.34758604389395,179.99704463048988,121.91806971710145
98,3266.1058655221746,171.79880386645394,142.96886915540964,159.04177568792932,147.81684665402307,70.79883317135182,174.50730309288602,62.34955055459686,177.9215050794065,153.19534857353588,175.6358618723363,179.99710277879026,122.36282406109667
99,3299.43347639485,178.2537890478562,135.29643563402067,159.9858092442053,150.36360721408826,73.80476042586236,171.74242284920027,70.3960377948677,178.52675404165885,153.402817860874,174.96566085757223,179.997157621603,126.95695402209724
100,3332.7610872675255,179.7008221362971,135.41159929631812,162.02093186335892,152.73714344754706,74.60051042508171,170.025378834399,73.16112141518842,178.90873762954445,151.6989436960701,174.05363240754286,179.9971774412406,128.0485132718279
101,3366.0886981402004,175.66522837897472,129.94203898352467,169.17237883144475,152.99326406460312,76.28395823274857,168.81431668429002,69.12561023058016,178.37605742590554,163.01678174318272,171.9016909144944,179.99714369838406,129.72251599097712
102,3399.416309012876,173.9930154226837,125.65922425849004,174.3850540904079,153.89498335512303,79.59899391068124,167.74515783989295,70.08160603306355,178.47134081214148,164.25454116351926,171.56023189859766,179.99714065928757,133.86428970339543
103,3432.743919885551,169.3124583697135,129.64134399349362,179.34867482209683,158.45690540629667,79.97609461374847,166.94587322302525,66.766553429447,178.76056398799585,135.06722840309055,170.46098639148127,179.9971727300204,135.42112747992286
104,3466.0715307582263,158.94828002618868,131.6830891114368,174.7162242833616,161.15221844077152,81.88796495077978,166.73832847875593,67.73831620365351,178.81684620493579,130.65626146532375,169.78738043530228,179.99714528055463,136.31369983099594
105,3499.3991416309013,157.76803495119435,164.9764058837431,171.4674818037492,176.413885523473,82.28208693144153,167.23453101827724,67.70710715037397,178.6607199767267,132.29093374656802,172.3154077655816,179.99708456526037,135.04018662303613
106,3532.726752503577,159.08868176115288,175.6064558801492,169.19978537783336,169.29457780626018,82.98786500415912,167.3364311848197,67.01364713491076,178.1690739497372,137.55034493309975,172.17061722997573,179.99699184841126,135.21274904017076
107,3566.0543633762522,161.85020097548335,177.27098274522555,168.85765077710607,166.9874476517286,82.5193615126549,168.81001566483624,66.57705720354134,177.34416296380306,142.17809505011343,171.84366240882287,179.99685385407582,133.58082242567238
108,3599.3819742489272,159.85130190825072,178.98480266557647,166.95512317498776,165.7889012984229,83.25202003400165,168.75333855750839,68.49613188352792,177.3628543470926,118.16052685645697,171.620458618412,179.99681920466293,134.4753611359584
109,3632.7095851216027,159.68754591143852,178.4954825156103,164.99421892609467,160.17576309196352,83.98775773650844,169.75403639778276,73.12063784815628,176.34778261579675,115.28954166352098,172.0403585225765,179.9968660019636,133.90642257699753
110,3666.0371959942777,158.1222329283677,165.19101507778035,162.63077695174724,151.65837431316606,86.83589374199966,171.13205478074158,75.88553241070362,175.6695219570571,112.10024115734716,173.10639271390093,179.99687568151253,133.6480416154908
111,3699.3648068669527,156.04816889925084,175.66251192146336,163.66856756515506,154.1887885724924,89.19137937768727,173.59953310011352,80.70105164951583,175.3154060884666,113.45907257714647,173.01968343371053,179.9968749621892,134.60173742398794
112,3732.6924177396277,155.8791744391514,176.16233154273164,161.83714124155793,151.35838262284568,92.25566338991874,173.50981958497337,84.29717627232888,175.90510439949114,126.35307630813763,176.2907108943863,179.99683421411174,136.724163205514
113,3766.020028612303,153.4536656759438,176.3576473836891,159.480148517716,149.24397565117644,93.67498978997399,174.35937595381054,86.68232878480667,175.34742189754584,142.50244334988116,176.80517081510015,179.99684092167428,136.74915405685766
114,3799.3476394849786,151.2450872189248,179.54292721449062,156.74285960320597,152.8424692663615,94.08316196390841,173.61346116305745,86.32375038580108,176.6058998763712,148.7001711866764,176.76780422263334,179.99677252172867,137.60761831057903
115,3832.6752503576536,150.63904058129052,178.4829086391057,154.58527411950365,154.70122463904565,95.2718950191096,172.47108761576857,85.95896104817041,177.1832818771451,155.81923170872236,174.75058957079352,179.99673747204943,139.09101124018864
116,3866.002861230329,149.51637696110248,153.93663735160055,154.13867184177866,174.16079399247724,96.02846352621765,169.94084074824866,85.03692652899004,178.22496632436395,152.62184667100476,172.79540327344304,179.9967244975448,139.1506017293143
117,3899.330472103004,150.61828485656966,135.99084477218884,153.65640913588118,167.85618341090887,96.25773366903674,166.39119219460707,82.77705563950879,179.94937286827792,150.21187178615475,166.82810282750916,179.9967106295187,138.3205840412963
118,3932.6580829756795,149.41814561725786,165.86130049989376,151.22385360968488,163.08728671451092,96.84772560623927,161.46477385649348,81.62748628106777,176.60367937163684,142.14051268521135,172.52600993399727,179.9966716875331,138.85782511688325
119,3965.9856938483545,150.7144629414404,172.21708243602833,150.8894872869195,143.1157994125568,98.09556713636901,157.30245762365652,79.8403022646407,173.8451179196849,142.93156220277535,174.35192920966318,179.9967424481617,138.4921849107308
120,3999.31330472103,150.2171071718606,175.79308015723828,149.15045301408838,139.0336786251893,98.45829340601084,156.056021602667,78.07355167817882,171.955932367926,146.19098752015208,166.665321668004,179.99675526720708,137.03613071567594
121,4032.6409155937054,148.77503821197251,,145.58308314996935,,99.15423794341909,155.25519690317367,77.72203027216784,167.8122176398262,152.99897647092934,163.36269602269238,179.99668892501117,136.1438928855128
122,4065.9685264663804,146.87245454942274,,141.78461975026204,,99.62381614743781,156.614677865232,76.90422066666468,164.749120748493,153.16974708618193,161.92254444307406,179.99660719580427,133.69030814996466
123,4099.296137339055,145.41295056445338,,138.18704317182588,,100.77531184271436,157.36526737974356,76.33283630585609,160.17023201309678,154.42540760280076,173.88949086099169,179.9965886841728,131.26136631912252
124,4132.623748211731,143.21830371739634,,134.8253645054608,,101.41902780633588,158.37237260453315,75.9487487103554,155.8268200861304,154.11627352799258,157.9452013802329,179.99652315748352,128.74007342604844
125,4165.951359084406,141.85755362948794,,131.9189365123626,,101.94032616878778,164.41335858708112,76.80395439816789,157.74449872909793,155.52299034246712,144.7627254638447,179.99652789445886,124.5267709427341
126,4199.278969957081,139.69695859900798,,129.45717416213148,,102.34805569916712,169.94045185340758,77.80994586626674,161.79196501869586,156.19230142252815,172.57485956465203,179.9965113872721,119.40272789480888
127,4232.606580829757,138.50931711493985,,128.30194429756995,,102.52238366532302,175.40612140696697,78.27541582320598,162.42394814720657,153.3330872201418,177.07179065305039,179.9964696385391,118.9997934861865
128,4265.934191702432,137.97420140285547,,127.84990872856781,,102.18745454916898,165.5148517510806,78.09821826964834,176.17803565568954,151.09230305148532,148.35530058098573,179.99642055197654,118.4092218581661
129,4299.261802575107,137.33048639609717,,127.65163739768636,,100.89831293559976,152.65577080839074,77.36023988570012,151.6572135021931,152.20421148618584,147.35332150073435,179.99636690942395,118.70940277162289
130,4332.589413447782,136.69521291563538,,127.34000963527242,,100.67811794012368,145.7066059774932,77.52990368512755,141.28336296555304,153.0651952567531,148.66317695102873,179.99635319364137,116.69958831474962
131,4365.917024320458,136.73712389800951,,127.92123962396849,,99.56467287553673,145.5900771336709,76.88710403505098,135.90245765565547,154.379358552434,150.55763963342608,179.99637479445565,117.47518606058834
132,4399.244635193133,136.71001764350086,,128.17535078222028,,98.88065528494404,142.44845956289447,76.34709685321705,142.24548848063202,156.43331576578748,138.69303170121563,179.99637469090473,115.5723164060044
133,4432.572246065808,136.14319967454753,,128.25465192500906,,97.33055932878838,127.10116309925245,74.5351597853542,116.72452525255507,158.04385490037785,149.88214077208102,179.99640610263444,109.00591436904669
134,4465.899856938484,135.84793728929296,,128.00904803234693,,96.36402323604901,118.71806627859743,73.41603029069546,112.55343167010811,158.7867690524936,138.56951027430168,179.99636415753704,105.43182366228822
135,4499.227467811159,135.3126108794228,,127.36798365924886,,96.32600588512422,114.416403173714,73.37992272300148,105.53712466058442,158.6657247197983,144.98587671675912,179.9963052137804,104.06253150392413
136,4532.555078683834,135.26004790210575,,127.2145649386413,,96.10674089377058,110.79682417683419,72.9884748399135,101.72341466782419,158.71140611289738,148.07663062949814,179.99627669342172,102.77560049679317
137,4565.882689556509,135.53564118181154,,127.36224899997384,,96.08108874862273,109.02768591413084,72.93273838348738,106.19940443074572,158.12979980370474,146.3784681279871,179.99627949042946,102.26171636144868
138,4599.210300429185,136.286771536078,,127.85550745582982,,95.76794138501519,103.13520764713543,72.88489738113574,100.36290375569973,156.96307305545525,148.65529073779166,179.99628600564043,100.23259630955505
139,4632.53791130186,137.3841756730017,,128.49864573102147,,95.52835774378504,,73.17913118225576,,156.40305920321921,,179.99630816596317,
140,4665.865522174535,138.47519878529502,,129.43490961274176,,95.2541067639039,,73.9984199483633,,155.71007956143202,,179.99634780242263,
